DEVICE:   TEM
TYP:      GTEM1500

# test name:	Punkt_4

# calibration date:	8/18/2020 12:43 PM

FMIN:	80.000000
FMAX:	1000.000000

HSEPTUM:   1.73 m

REFERENCE: 5.000000 V/m

INPUT:     f[MHz] input[dBm]
80.000000 39.805661
80.800000 39.828957
81.608000 39.787057
82.424080 39.826067
83.248321 39.882112
84.080804 39.876536
84.921612 39.904077
85.770828 40.057665
86.628536 40.341195
87.494822 40.754705
88.369770 41.366598
89.253468 42.140726
90.146002 42.505124
91.047462 42.059013
91.957937 41.460953
92.877516 40.842602
93.806292 40.379255
94.744355 40.088236
95.691798 39.841198
96.648716 39.704139
97.615203 39.735583
98.591355 39.766102
99.577269 39.714754
100.573041 39.577900
101.578772 39.406290
102.594560 39.244330
103.620505 39.123743
104.656710 39.018133
105.703277 38.897174
106.760310 38.596818
107.827913 38.299546
108.906192 37.841417
109.995254 37.386524
111.095207 37.183490
112.206159 37.216847
113.328220 37.265050
114.461503 37.246401
115.606118 37.144801
116.762179 37.013336
117.929801 36.743086
119.109099 36.537897
120.300190 36.339350
121.503192 36.154636
122.718223 36.124307
123.945406 36.160847
125.184860 36.159203
126.436708 36.210853
127.701075 36.232802
128.978086 36.226568
130.267867 36.383791
131.570546 36.721197
132.886251 37.124693
134.215114 37.448871
135.557265 37.506942
136.912838 37.112649
138.281966 36.629443
139.664786 36.242694
141.061433 36.045135
142.472048 35.963831
143.896768 35.925838
145.335736 35.804897
146.789093 35.536980
148.256984 35.326837
149.739554 35.197121
151.236950 35.261480
152.749319 35.429740
154.276812 35.565045
155.819580 35.617199
157.377776 35.587184
158.951554 35.528101
160.541069 35.549305
162.146480 35.599582
163.767945 35.674165
165.405624 35.678357
167.059681 35.839026
168.730277 36.058357
170.417580 36.308054
172.121756 36.618541
173.842974 36.868387
175.581403 36.666077
177.337217 36.289252
179.110590 35.689136
180.901695 35.357159
182.710712 35.004737
184.537820 34.873809
186.383198 34.922565
188.247030 35.264382
190.129500 35.669814
192.030795 35.938945
193.951103 36.197373
195.890614 36.140595
197.849520 35.816746
199.828015 35.170675
201.826295 34.376897
203.844558 33.704939
205.883004 33.234728
207.941834 33.108460
210.021252 33.279693
212.121465 33.681276
214.242680 34.355219
216.385106 35.021108
218.548957 35.204463
220.734447 34.914061
222.941791 34.198459
225.171209 33.488715
227.422921 33.256573
229.697151 33.771569
231.994122 34.967107
234.314063 36.565770
236.657204 38.012095
239.023776 39.440971
241.414014 40.964001
243.828154 42.228060
246.266436 42.683408
248.729100 42.319910
251.216391 41.630309
253.728555 40.994464
256.265840 40.438666
258.828499 40.088234
261.416784 40.091421
264.030952 39.213773
266.671261 36.480257
269.337974 33.809566
272.031353 32.736697
274.751667 32.819465
277.499184 33.276225
280.274175 33.898300
283.076917 34.468394
285.907686 34.805509
288.766763 35.283781
291.654431 35.756461
294.570975 35.879589
297.516685 35.998039
300.491852 36.209390
303.496770 36.114822
306.531738 35.795888
309.597055 35.717853
312.693026 35.506008
315.819956 35.165271
318.978156 35.169621
322.167937 35.469953
325.389617 35.833186
328.643513 36.447712
331.929948 37.195633
335.249247 37.315808
338.601740 37.241191
341.987757 37.116120
345.407635 37.120772
348.861711 37.304361
352.350328 37.159142
355.873832 36.284522
359.432570 35.143323
363.026896 34.037321
366.657165 33.878267
370.323736 34.853809
374.026974 36.011545
377.767243 36.381939
381.544916 35.658949
385.360365 35.490782
389.213969 35.347842
393.106108 35.685090
397.037169 36.243821
401.007541 36.457385
405.017617 35.976048
409.067793 36.432345
413.158471 37.291826
417.290055 37.578652
421.462956 38.344594
425.677585 38.108171
429.934361 37.616277
434.233705 38.365188
438.576042 38.881310
442.961802 38.142005
447.391420 37.088691
451.865335 36.046761
456.383988 35.642050
460.947828 36.043645
465.557306 36.528747
470.212879 37.488421
474.915008 37.959111
479.664158 36.689502
484.460800 35.579732
489.305408 35.583170
494.198462 36.321788
499.140446 36.746936
504.131851 36.504128
509.173169 35.566020
514.264901 35.132017
519.407550 36.032358
524.601625 36.011812
529.847642 35.327284
535.146118 35.184189
540.497579 35.540506
545.902555 37.175246
551.361581 37.438215
556.875196 36.642884
562.443948 36.227178
568.068388 37.108849
573.749072 37.827694
579.486563 36.304539
585.281428 34.393071
591.134242 33.469579
597.045585 34.331788
603.016041 35.813871
609.046201 36.022232
615.136663 35.289429
621.288030 36.264259
627.500910 36.521008
633.775919 35.811517
640.113678 36.194914
646.514815 37.844447
652.979963 38.205452
659.509763 36.887448
666.104861 35.411752
672.765909 35.840006
679.493568 35.969493
686.288504 35.917898
693.151389 36.027075
700.082903 36.177727
707.083732 37.188658
714.154569 38.539426
721.296115 37.403211
728.509076 37.322225
735.794167 38.206654
743.152108 38.488496
750.583630 38.202747
758.089466 39.490602
765.670360 40.914071
773.327064 39.228111
781.060335 38.045302
788.870938 39.183926
796.759647 43.196716
804.727244 39.256710
812.774516 37.685403
820.902262 40.106831
829.111284 41.480099
837.402397 39.008284
845.776421 39.814731
854.234185 41.288503
862.776527 38.650165
871.404292 38.243173
880.118335 40.455477
888.919519 39.937357
897.808714 37.676218
906.786801 38.657775
915.854669 39.146196
925.013216 38.450651
934.263348 37.992402
943.605981 39.413158
953.042041 41.438687
962.572461 40.395555
972.198186 41.745431
981.920168 40.899562
991.739370 39.619669
1000.000000 43.686511

