DEVICE:   TEM
TYP:      GTEM1500

# test name:	Punkt_3

# calibration date:	8/18/2020 11:39 AM

FMIN:	80.000000
FMAX:	1000.000000

HSEPTUM:   1.73 m

REFERENCE: 5.000000 V/m

INPUT:     f[MHz] input[dBm]
80.000000 36.459632
80.800000 36.468347
81.608000 36.498993
82.424080 36.469269
83.248321 36.499455
84.080804 36.554066
84.921612 36.694599
85.770828 36.849512
86.628536 37.115677
87.494822 37.457801
88.369770 37.937586
89.253468 38.499717
90.146002 38.753900
91.047462 38.623323
91.957937 38.302377
92.877516 37.953796
93.806292 37.748136
94.744355 37.570901
95.691798 37.496155
96.648716 37.392911
97.615203 37.254654
98.591355 37.102634
99.577269 36.848755
100.573041 36.664750
101.578772 36.490888
102.594560 36.354804
103.620505 36.332482
104.656710 36.274120
105.703277 36.216551
106.760310 36.012536
107.827913 35.789758
108.906192 35.466649
109.995254 35.126828
111.095207 34.924952
112.206159 34.908139
113.328220 34.826116
114.461503 34.799335
115.606118 34.737386
116.762179 34.666290
117.929801 34.475505
119.109099 34.286957
120.300190 34.083294
121.503192 34.026788
122.718223 33.892224
123.945406 33.643221
125.184860 33.403822
126.436708 33.040384
127.701075 32.554276
128.978086 32.253229
130.267867 32.113066
131.570546 32.193693
132.886251 32.409200
134.215114 32.579104
135.557265 32.643095
136.912838 32.491593
138.281966 32.327795
139.664786 32.178983
141.061433 32.293738
142.472048 32.521657
143.896768 32.677312
145.335736 32.861298
146.789093 32.975505
148.256984 33.107872
149.739554 33.500738
151.236950 34.095059
152.749319 34.895593
154.276812 35.459025
155.819580 35.458116
157.377776 34.981274
158.951554 34.354739
160.541069 33.913806
162.146480 33.558301
163.767945 33.274193
165.405624 33.098295
167.059681 33.097662
168.730277 33.267306
170.417580 33.673038
172.121756 34.233883
173.842974 34.709485
175.581403 35.092440
177.337217 35.068611
179.110590 34.808245
180.901695 34.343165
182.710712 33.820855
184.537820 33.381333
186.383198 33.200168
188.247030 33.263567
190.129500 33.522417
192.030795 33.836312
193.951103 34.001939
195.890614 33.978671
197.849520 33.687459
199.828015 33.186516
201.826295 32.319553
203.844558 31.687358
205.883004 31.343271
207.941834 31.251716
210.021252 31.432691
212.121465 31.841588
214.242680 32.253644
216.385106 32.584661
218.548957 32.604678
220.734447 32.189581
222.941791 31.574955
225.171209 31.090201
227.422921 30.945188
229.697151 31.533502
231.994122 32.649410
234.314063 33.742897
236.657204 34.635496
239.023776 35.022374
241.414014 35.207529
243.828154 35.078568
246.266436 34.648429
248.729100 34.267099
251.216391 34.227636
253.728555 34.317710
256.265840 34.453986
258.828499 34.439896
261.416784 34.450273
264.030952 34.420427
266.671261 33.554220
269.337974 31.405694
272.031353 30.426740
274.751667 30.490498
277.499184 31.053391
280.274175 31.647384
283.076917 32.290098
285.907686 32.653046
288.766763 32.780388
291.654431 32.536276
294.570975 32.202130
297.516685 32.120867
300.491852 32.447212
303.496770 32.961963
306.531738 33.149925
309.597055 33.149984
312.693026 32.860020
315.819956 32.509653
318.978156 32.762630
322.167937 33.278944
325.389617 33.656567
328.643513 33.771183
331.929948 33.450466
335.249247 32.993918
338.601740 32.873568
341.987757 33.148026
345.407635 33.403915
348.861711 33.641692
352.350328 33.654671
355.873832 33.456782
359.432570 33.154016
363.026896 32.431727
366.657165 31.929713
370.323736 31.996998
374.026974 32.005123
377.767243 31.887713
381.544916 31.849505
385.360365 32.516894
389.213969 33.270854
393.106108 33.260271
397.037169 32.607921
401.007541 31.975472
405.017617 31.837541
409.067793 31.845989
413.158471 32.052738
417.290055 32.393506
421.462956 32.793020
425.677585 33.387507
429.934361 33.699754
434.233705 33.644533
438.576042 33.357852
442.961802 32.819257
447.391420 32.487223
451.865335 32.613145
456.383988 33.240595
460.947828 34.121849
465.557306 34.381169
470.212879 33.548870
474.915008 32.535491
479.664158 32.031057
484.460800 31.899371
489.305408 32.498511
494.198462 33.543677
499.140446 33.910778
504.131851 33.269301
509.173169 32.675166
514.264901 32.752019
519.407550 33.496598
524.601625 33.988256
529.847642 34.098665
535.146118 33.264971
540.497579 32.506624
545.902555 32.561367
551.361581 33.009514
556.875196 33.921731
562.443948 34.243805
568.068388 34.468322
573.749072 34.359229
579.486563 34.404259
585.281428 34.354102
591.134242 34.102282
597.045585 33.695485
603.016041 34.055592
609.046201 35.298228
615.136663 36.415756
621.288030 37.503111
627.500910 37.175757
633.775919 35.881767
640.113678 35.812508
646.514815 35.779097
652.979963 35.495025
659.509763 35.239572
666.104861 33.912849
672.765909 33.725710
679.493568 34.960557
686.288504 36.007486
693.151389 34.133081
700.082903 33.743544
707.083732 35.474410
714.154569 36.168518
721.296115 34.859810
728.509076 35.314855
735.794167 37.036419
743.152108 37.243866
750.583630 38.099917
758.089466 38.969705
765.670360 37.487328
773.327064 37.633954
781.060335 36.972829
788.870938 36.901993
796.759647 37.324391
804.727244 36.342676
812.774516 34.826249
820.902262 35.570758
829.111284 35.827154
837.402397 35.609385
845.776421 36.587479
854.234185 37.528367
862.776527 37.125700
871.404292 37.882377
880.118335 39.240933
888.919519 38.374911
897.808714 37.562053
906.786801 38.471789
915.854669 38.590642
925.013216 39.368381
934.263348 39.273626
943.605981 37.412697
953.042041 37.085876
962.572461 39.484670
972.198186 38.600553
981.920168 37.304671
991.739370 37.357532
1000.000000 37.159739

