DEVICE:   TEM
TYP:      GTEM1500

# test name:	Punkt_2

# calibration date:	8/17/2020 6:03 PM

FMIN:	80.000000
FMAX:	1000.000000

HSEPTUM:   1.73 m

REFERENCE: 5.000000 V/m

INPUT:     f[MHz] input[dBm]
80.000000 36.372482
80.800000 36.380983
81.608000 36.338805
82.424080 36.349601
83.248321 36.301583
84.080804 36.268754
84.921612 36.398958
85.770828 36.505110
86.628536 36.741500
87.494822 37.096175
88.369770 37.653147
89.253468 38.315562
90.146002 38.671608
91.047462 38.563404
91.957937 38.210375
92.877516 37.870715
93.806292 37.519990
94.744355 37.285232
95.691798 37.116693
96.648716 36.952686
97.615203 36.842864
98.591355 36.622058
99.577269 36.417291
100.573041 36.283702
101.578772 36.050875
102.594560 35.887819
103.620505 35.776629
104.656710 35.657424
105.703277 35.536222
106.760310 35.373079
107.827913 35.162859
108.906192 34.992588
109.995254 34.832920
111.095207 34.870303
112.206159 34.991699
113.328220 35.066492
114.461503 35.049936
115.606118 34.958654
116.762179 34.784689
117.929801 34.501540
119.109099 34.189785
120.300190 33.944700
121.503192 33.746597
122.718223 33.525883
123.945406 33.287152
125.184860 32.928215
126.436708 32.549083
127.701075 32.117976
128.978086 31.726541
130.267867 31.567825
131.570546 31.612480
132.886251 31.859703
134.215114 32.143679
135.557265 32.225319
136.912838 32.152330
138.281966 32.055943
139.664786 32.090825
141.061433 32.250864
142.472048 32.485847
143.896768 32.755106
145.335736 32.881913
146.789093 33.015036
148.256984 33.382305
149.739554 34.083590
151.236950 35.262366
152.749319 36.492927
154.276812 37.119390
155.819580 36.590958
157.377776 35.493565
158.951554 34.496068
160.541069 33.786971
162.146480 33.320972
163.767945 32.933679
165.405624 32.683843
167.059681 32.579056
168.730277 32.684301
170.417580 32.977021
172.121756 33.333411
173.842974 33.747091
175.581403 34.039318
177.337217 33.837916
179.110590 33.093883
180.901695 32.217119
182.710712 31.707206
184.537820 31.625928
186.383198 31.845816
188.247030 32.135329
190.129500 32.510571
192.030795 32.821714
193.951103 33.056619
195.890614 33.106525
197.849520 32.988551
199.828015 32.617290
201.826295 32.022292
203.844558 31.433900
205.883004 31.142714
207.941834 31.085310
210.021252 31.403382
212.121465 31.998067
214.242680 32.914814
216.385106 33.684724
218.548957 33.733748
220.734447 33.126067
222.941791 32.293028
225.171209 31.490062
227.422921 31.041979
229.697151 31.137785
231.994122 31.421596
234.314063 31.892729
236.657204 32.340202
239.023776 32.511607
241.414014 32.277856
243.828154 31.897940
246.266436 31.531041
248.729100 31.523167
251.216391 32.044645
253.728555 32.805415
256.265840 33.296058
258.828499 33.403715
261.416784 33.355200
264.030952 33.113133
266.671261 32.527510
269.337974 32.257365
272.031353 32.865566
274.751667 33.970219
277.499184 34.461496
280.274175 34.248284
283.076917 33.769796
285.907686 33.104344
288.766763 32.552792
291.654431 32.192731
294.570975 31.941027
297.516685 31.810061
300.491852 31.799355
303.496770 31.657746
306.531738 31.267338
309.597055 30.968737
312.693026 30.595362
315.819956 30.255115
318.978156 30.353777
322.167937 30.695213
325.389617 30.878631
328.643513 31.029219
331.929948 30.737542
335.249247 30.284286
338.601740 30.231542
341.987757 30.557115
345.407635 30.868354
348.861711 31.399939
352.350328 31.806181
355.873832 31.869976
359.432570 31.661129
363.026896 31.305453
366.657165 31.549060
370.323736 32.254632
374.026974 32.838346
377.767243 32.738086
381.544916 31.397419
385.360365 29.878245
389.213969 29.185859
393.106108 29.475241
397.037169 30.283252
401.007541 31.165924
405.017617 31.933311
409.067793 31.227917
413.158471 30.442517
417.290055 30.037100
421.462956 29.822973
425.677585 30.168060
429.934361 30.662356
434.233705 30.912403
438.576042 30.923997
442.961802 30.828356
447.391420 31.016129
451.865335 30.838746
456.383988 30.139877
460.947828 29.633592
465.557306 29.346243
470.212879 29.733968
474.915008 31.431358
479.664158 33.060277
484.460800 32.188948
489.305408 30.540381
494.198462 29.705476
499.140446 29.554603
504.131851 29.941169
509.173169 30.279659
514.264901 30.177772
519.407550 30.265547
524.601625 30.516393
529.847642 30.393810
535.146118 30.499201
540.497579 30.638760
545.902555 30.072426
551.361581 29.546129
556.875196 29.083601
562.443948 29.086697
568.068388 29.812251
573.749072 29.876533
579.486563 29.319009
585.281428 28.853420
591.134242 29.049615
597.045585 29.378103
603.016041 29.138544
609.046201 28.652451
615.136663 28.966706
621.288030 30.936350
627.500910 32.274635
633.775919 31.945895
640.113678 31.928340
646.514815 31.915531
652.979963 32.579101
659.509763 32.749984
666.104861 32.024062
672.765909 31.903321
679.493568 32.808155
686.288504 32.385618
693.151389 31.834701
700.082903 32.272229
707.083732 32.408046
714.154569 31.606273
721.296115 32.135108
728.509076 33.490340
735.794167 33.177557
743.152108 32.857880
750.583630 34.054130
758.089466 35.322274
765.670360 34.871977
773.327064 33.874296
781.060335 34.353643
788.870938 35.646915
796.759647 35.698393
804.727244 35.099847
812.774516 36.705713
820.902262 36.394857
829.111284 34.735726
837.402397 34.839448
845.776421 35.483734
854.234185 35.609387
862.776527 35.035157
871.404292 35.958310
880.118335 37.854728
888.919519 37.094152
897.808714 38.840499
906.786801 41.082499
915.854669 39.833399
925.013216 40.000099
934.263348 40.030748
943.605981 38.977350
953.042041 38.829560
962.572461 39.004242
972.198186 40.135344
981.920168 38.365735
991.739370 38.073247
1000.000000 39.401402

