DEVICE:   TEM
TYP:      GTEM1500

# test name:	Punkt_5

# calibration date:	8/18/2020 1:08 PM

FMIN:	80.000000
FMAX:	1000.000000

HSEPTUM:   1.73 m

REFERENCE: 5.000000 V/m

INPUT:     f[MHz] input[dBm]
80.000000 38.264012
80.800000 38.301371
81.608000 38.292721
82.424080 38.348739
83.248321 38.276867
84.080804 38.250132
84.921612 38.333701
85.770828 38.380523
86.628536 38.689945
87.494822 38.995928
88.369770 39.647950
89.253468 40.384568
90.146002 40.758171
91.047462 40.467082
91.957937 39.920836
92.877516 39.342451
93.806292 38.870630
94.744355 38.526167
95.691798 38.284422
96.648716 38.079012
97.615203 38.070597
98.591355 38.146252
99.577269 38.122133
100.573041 37.966304
101.578772 37.774231
102.594560 37.607840
103.620505 37.383082
104.656710 37.229847
105.703277 37.059668
106.760310 36.827470
107.827913 36.617779
108.906192 36.331686
109.995254 36.190911
111.095207 36.255144
112.206159 36.519515
113.328220 36.606290
114.461503 36.510840
115.606118 36.255711
116.762179 35.947038
117.929801 35.499794
119.109099 35.041179
120.300190 34.588210
121.503192 34.258072
122.718223 33.992155
123.945406 33.720095
125.184860 33.515154
126.436708 33.239658
127.701075 33.062330
128.978086 32.976175
130.267867 33.072989
131.570546 33.332918
132.886251 33.814016
134.215114 34.375846
135.557265 34.577488
136.912838 34.529508
138.281966 34.382320
139.664786 34.275979
141.061433 34.298039
142.472048 34.405897
143.896768 34.446161
145.335736 34.367391
146.789093 34.250633
148.256984 34.266986
149.739554 34.490759
151.236950 34.818603
152.749319 34.925147
154.276812 34.661302
155.819580 34.303515
157.377776 33.914662
158.951554 33.774631
160.541069 33.801760
162.146480 33.955770
163.767945 34.155835
165.405624 34.208005
167.059681 34.049192
168.730277 33.824346
170.417580 33.683735
172.121756 33.540368
173.842974 33.440840
175.581403 33.086301
177.337217 32.274985
179.110590 31.271402
180.901695 30.480190
182.710712 30.214728
184.537820 30.450856
186.383198 30.930467
188.247030 31.536097
190.129500 32.095253
192.030795 32.456725
193.951103 32.813875
195.890614 33.036325
197.849520 33.046769
199.828015 32.609587
201.826295 31.844047
203.844558 31.075683
205.883004 30.480189
207.941834 30.118570
210.021252 30.105664
212.121465 30.418827
214.242680 31.022063
216.385106 31.761126
218.548957 32.338973
220.734447 32.457418
222.941791 32.413707
225.171209 32.509551
227.422921 32.958539
229.697151 33.437253
231.994122 33.650482
234.314063 33.740613
236.657204 33.833197
239.023776 33.975849
241.414014 33.795399
243.828154 33.555396
246.266436 33.370096
248.729100 33.467982
251.216391 34.006216
253.728555 34.709645
256.265840 35.039106
258.828499 34.810061
261.416784 34.414810
264.030952 34.125012
266.671261 34.341250
269.337974 35.102915
272.031353 37.065753
274.751667 39.502385
277.499184 39.125453
280.274175 37.048110
283.076917 35.371108
285.907686 34.085839
288.766763 33.323443
291.654431 32.652714
294.570975 31.937973
297.516685 31.382444
300.491852 31.152899
303.496770 31.198102
306.531738 31.532139
309.597055 32.018511
312.693026 32.302445
315.819956 32.301640
318.978156 32.549324
322.167937 32.734577
325.389617 32.679671
328.643513 32.680683
331.929948 32.768270
335.249247 32.668816
338.601740 32.672027
341.987757 32.747603
345.407635 32.810011
348.861711 33.281136
352.350328 33.668204
355.873832 33.344614
359.432570 32.398145
363.026896 31.578727
366.657165 31.926205
370.323736 32.938944
374.026974 33.774897
377.767243 34.211379
381.544916 33.187813
385.360365 31.470584
389.213969 30.299398
393.106108 30.298333
397.037169 31.522054
401.007541 32.713653
405.017617 32.584054
409.067793 32.550368
413.158471 33.225945
417.290055 33.152819
421.462956 32.899661
425.677585 32.129252
429.934361 30.972007
434.233705 31.308888
438.576042 32.463955
442.961802 33.119650
447.391420 33.263317
451.865335 32.621495
456.383988 32.189666
460.947828 32.452164
465.557306 32.652430
470.212879 32.397345
474.915008 32.254325
479.664158 32.009639
484.460800 32.386411
489.305408 33.173252
494.198462 34.293662
499.140446 34.797254
504.131851 33.877180
509.173169 32.021500
514.264901 31.215421
519.407550 31.923006
524.601625 32.671327
529.847642 31.643227
535.146118 30.492556
540.497579 30.535025
545.902555 31.883969
551.361581 32.266957
556.875196 30.772115
562.443948 29.927498
568.068388 30.913462
573.749072 32.929901
579.486563 32.272114
585.281428 30.827722
591.134242 30.142973
597.045585 29.943104
603.016041 29.337103
609.046201 29.139007
615.136663 30.532993
621.288030 32.194767
627.500910 31.684724
633.775919 31.198593
640.113678 32.309141
646.514815 34.110545
652.979963 32.970431
659.509763 33.213555
666.104861 36.152720
672.765909 36.298812
679.493568 34.740506
686.288504 34.852464
693.151389 36.275398
700.082903 36.329354
707.083732 35.291891
714.154569 35.571988
721.296115 34.879627
728.509076 34.982027
735.794167 34.961045
743.152108 34.395363
750.583630 33.886290
758.089466 34.482419
765.670360 35.522525
773.327064 34.931958
781.060335 33.583537
788.870938 33.660506
796.759647 35.830023
804.727244 35.280073
812.774516 34.353977
820.902262 36.366709
829.111284 35.770252
837.402397 35.679818
845.776421 38.329893
854.234185 38.324416
862.776527 36.991028
871.404292 37.545415
880.118335 38.098570
888.919519 37.071639
897.808714 36.142213
906.786801 37.521632
915.854669 36.130338
925.013216 35.038546
934.263348 36.754502
943.605981 38.066426
953.042041 37.721083
962.572461 37.859173
972.198186 38.110770
981.920168 38.144775
991.739370 37.661471
1000.000000 39.520062

