DEVICE:   TEM
TYP:      GTEM1500

# test name:	Punkt_1

# calibration date:	8/17/2020 5:16 PM

FMIN:	80.000000
FMAX:	1000.000000

HSEPTUM:   1.73 m

REFERENCE: 5.000000 V/m

INPUT:     f[MHz] input[dBm]
80.000000 36.142492
80.800000 36.126520
81.608000 36.065128
82.424080 36.085341
83.248321 36.069374
84.080804 36.121675
84.921612 36.164225
85.770828 36.310695
86.628536 36.526163
87.494822 36.800910
88.369770 37.294345
89.253468 37.914528
90.146002 38.330147
91.047462 38.406801
91.957937 38.215795
92.877516 37.986962
93.806292 37.780003
94.744355 37.578119
95.691798 37.504434
96.648716 37.371943
97.615203 37.183782
98.591355 36.915814
99.577269 36.586979
100.573041 36.301309
101.578772 36.039922
102.594560 35.879033
103.620505 35.734051
104.656710 35.594285
105.703277 35.502655
106.760310 35.322742
107.827913 35.200834
108.906192 35.122517
109.995254 35.164842
111.095207 35.437996
112.206159 35.683481
113.328220 35.798591
114.461503 35.779711
115.606118 35.669113
116.762179 35.396669
117.929801 35.000816
119.109099 34.701706
120.300190 34.362225
121.503192 34.157680
122.718223 33.923346
123.945406 33.617861
125.184860 33.306778
126.436708 32.818882
127.701075 32.265796
128.978086 31.918261
130.267867 31.643520
131.570546 31.676228
132.886251 31.799672
134.215114 32.024318
135.557265 32.146895
136.912838 32.060497
138.281966 31.959889
139.664786 32.003673
141.061433 32.066510
142.472048 32.262875
143.896768 32.371381
145.335736 32.375079
146.789093 32.309772
148.256984 32.363558
149.739554 32.535494
151.236950 32.995590
152.749319 33.529529
154.276812 34.015448
155.819580 34.180003
157.377776 33.868412
158.951554 33.439857
160.541069 33.163865
162.146480 33.030262
163.767945 32.907791
165.405624 32.844575
167.059681 32.816725
168.730277 32.988960
170.417580 33.301260
172.121756 33.780648
173.842974 34.410657
175.581403 34.867972
177.337217 35.206016
179.110590 35.002310
180.901695 34.592835
182.710712 34.195566
184.537820 33.882696
186.383198 33.787149
188.247030 33.801724
190.129500 33.828322
192.030795 33.768194
193.951103 33.679567
195.890614 33.575036
197.849520 33.359755
199.828015 33.051254
201.826295 32.591251
203.844558 32.095777
205.883004 31.840976
207.941834 31.854577
210.021252 32.047934
212.121465 32.345552
214.242680 32.667457
216.385106 32.787095
218.548957 32.535931
220.734447 31.947027
222.941791 31.235840
225.171209 30.658176
227.422921 30.366334
229.697151 30.627781
231.994122 31.287053
234.314063 31.916901
236.657204 32.529887
239.023776 33.079720
241.414014 33.513334
243.828154 33.586783
246.266436 33.418987
248.729100 33.160205
251.216391 33.275395
253.728555 33.604751
256.265840 33.946120
258.828499 34.265392
261.416784 34.443670
264.030952 34.187551
266.671261 33.548117
269.337974 31.914407
272.031353 30.770890
274.751667 30.621376
277.499184 30.833077
280.274175 31.216578
283.076917 31.676509
285.907686 32.074256
288.766763 32.375793
291.654431 32.512697
294.570975 32.346343
297.516685 32.110425
300.491852 32.168109
303.496770 32.460576
306.531738 33.046611
309.597055 33.306212
312.693026 33.008498
315.819956 32.463502
318.978156 32.346103
322.167937 32.622916
325.389617 32.824715
328.643513 33.029952
331.929948 32.969615
335.249247 32.658867
338.601740 32.598999
341.987757 32.586484
345.407635 32.590055
348.861711 32.697147
352.350328 32.687176
355.873832 32.498109
359.432570 32.204561
363.026896 31.634129
366.657165 31.256120
370.323736 31.372260
374.026974 31.605822
377.767243 31.598940
381.544916 31.532429
385.360365 32.006344
389.213969 32.737812
393.106108 33.001318
397.037169 32.687642
401.007541 32.201426
405.017617 31.944446
409.067793 31.850772
413.158471 31.942513
417.290055 32.083766
421.462956 32.329834
425.677585 32.764922
429.934361 32.993865
434.233705 32.843028
438.576042 32.676024
442.961802 32.137882
447.391420 31.941907
451.865335 32.126665
456.383988 32.420640
460.947828 33.138091
465.557306 33.785599
470.212879 33.297534
474.915008 32.314533
479.664158 31.647626
484.460800 31.525415
489.305408 32.290260
494.198462 32.906570
499.140446 33.149637
504.131851 32.655437
509.173169 32.346277
514.264901 33.234060
519.407550 34.365826
524.601625 34.377787
529.847642 33.504012
535.146118 32.623595
540.497579 32.447841
545.902555 32.705960
551.361581 32.522252
556.875196 32.530779
562.443948 32.808213
568.068388 32.958619
573.749072 32.674206
579.486563 32.932044
585.281428 33.821640
591.134242 34.132762
597.045585 33.502322
603.016041 33.290838
609.046201 34.761636
615.136663 35.783222
621.288030 35.906803
627.500910 36.360483
633.775919 37.094552
640.113678 37.020224
646.514815 36.660494
652.979963 37.007448
659.509763 36.630006
666.104861 35.321919
672.765909 35.179502
679.493568 35.604518
686.288504 36.070390
693.151389 35.638319
700.082903 35.166230
707.083732 35.828076
714.154569 36.507376
721.296115 35.579540
728.509076 35.210768
735.794167 36.694054
743.152108 37.407458
750.583630 37.579380
758.089466 38.123880
765.670360 38.831385
773.327064 39.707967
781.060335 39.255490
788.870938 39.769274
796.759647 41.381340
804.727244 41.258784
812.774516 39.226735
820.902262 39.197608
829.111284 39.200370
837.402397 38.722470
845.776421 38.677400
854.234185 39.193080
862.776527 38.449178
871.404292 39.494553
880.118335 40.957670
888.919519 40.628307
897.808714 40.040486
906.786801 39.831460
915.854669 40.061097
925.013216 40.324630
934.263348 40.606455
943.605981 39.365877
953.042041 38.345694
962.572461 40.006988
972.198186 39.360002
981.920168 38.476747
991.739370 38.944358
1000.000000 38.528843

